x, y, u, v: 423, 55, 1.79294, 1.54755
x, y, u, v: 439, 55, 1.68871, 1.26108
x, y, u, v: 455, 55, 1.59618, 1.5679
x, y, u, v: 471, 55, 1.40736, 1.45814
x, y, u, v: 487, 55, 1.22037, 1.47557
x, y, u, v: 503, 55, 1.12478, 1.43964
x, y, u, v: 7, 71, 1.14222, -1.63603
x, y, u, v: 23, 71, 1.23239, -1.4717
x, y, u, v: 39, 71, 1.51406, -1.67485
x, y, u, v: 55, 71, 1.56853, -1.76721
x, y, u, v: 71, 71, 1.58678, -1.59823
x, y, u, v: 87, 71, -7.32078, -3.85274
x, y, u, v: 103, 71, 2.06719, -1.63218
x, y, u, v: 119, 71, 2.13079, -1.54153
x, y, u, v: 135, 71, 2.31159, -1.47686
x, y, u, v: 151, 71, 2.45644, -1.43669
x, y, u, v: 167, 71, 2.7724, -1.23138
x, y, u, v: 183, 71, 2.85198, -1.21705
x, y, u, v: 199, 71, 2.99253, -0.93387
x, y, u, v: 215, 71, 3.00771, -0.688156
x, y, u, v: 231, 71, 3.17747, -0.430024
x, y, u, v: 247, 71, 3.29047, -0.250202
x, y, u, v: 263, 71, 3.26313, 0.169577
x, y, u, v: 279, 71, 3.22002, 0.305946
x, y, u, v: 295, 71, 3.10676, 0.590774
x, y, u, v: 311, 71, 2.99755, 0.886107
x, y, u, v: 327, 71, 2.6969, 1.09557
x, y, u, v: 343, 71, 2.48572, 1.32683
x, y, u, v: 359, 71, 2.43981, 1.33583
x, y, u, v: 375, 71, 2.18156, 1.4622
x, y, u, v: 391, 71, 2.19821, 1.60886
x, y, u, v: 407, 71, 2.01396, 1.61377
x, y, u, v: 423, 71, 1.73779, 1.61897
x, y, u, v: 439, 71, 1.69026, 1.51549
x, y, u, v: 455, 71, 1.46343, 1.60621
x, y, u, v: 471, 71, 1.39117, 1.67785
x, y, u, v: 487, 71, 1.27839, 1.59251
x, y, u, v: 503, 71, 1.11853, 1.5495
x, y, u, v: 7, 87, 1.01186, -1.52111
x, y, u, v: 23, 87, 1.22967, -1.71659
x, y, u, v: 39, 87, 1.27079, -1.76069
x, y, u, v: 55, 87, 1.48832, -1.7874
x, y, u, v: 71, 87, 1.59922, -1.79924
x, y, u, v: 87, 87, 1.84253, -1.8822
x, y, u, v: 103, 87, 1.95436, -1.79734
x, y, u, v: 119, 87, 2.1205, -1.75047
x, y, u, v: 135, 87, 2.35304, -1.76144
x, y, u, v: 151, 87, 2.76446, -1.70045
x, y, u, v: 167, 87, 2.83265, -1.50279
x, y, u, v: 183, 87, 2.9755, -1.34029
x, y, u, v: 199, 87, 3.21821, -0.954958
x, y, u, v: 215, 87, 3.1556, -1.01163
x, y, u, v: 231, 87, 3.52097, -0.454629
x, y, u, v: 247, 87, 3.62301, -0.129483
x, y, u, v: 263, 87, -2.19555, -6.18162
x, y, u, v: 279, 87, 3.50978, 0.431406
x, y, u, v: 295, 87, 3.4689, 0.795103
x, y, u, v: 311, 87, 3.13494, 0.990216
x, y, u, v: 327, 87, 3.06853, 1.24835
x, y, u, v: 343, 87, 2.83143, 1.42306
x, y, u, v: 359, 87, 2.5881, 1.52708
x, y, u, v: 375, 87, 2.45914, 1.60373
x, y, u, v: 391, 87, 2.14233, 1.6829
x, y, u, v: 407, 87, 2.08628, 1.8314
x, y, u, v: 423, 87, 1.78168, 1.7819
x, y, u, v: 439, 87, 1.50901, 1.77079
x, y, u, v: 455, 87, 1.57474, 1.79234
x, y, u, v: 471, 87, 1.46026, 1.63637
x, y, u, v: 487, 87, 1.2332, 1.69178
x, y, u, v: 503, 87, 1.02259, 1.70395
x, y, u, v: 7, 103, 1.1276, -1.81741
x, y, u, v: 23, 103, 1.18947, -1.81241
x, y, u, v: 39, 103, -6.5997, -6.48501
x, y, u, v: 55, 103, 1.46105, -2.13687
x, y, u, v: 71, 103, 1.61733, -1.87553
x, y, u, v: 87, 103, 1.74836, -2.01413
x, y, u, v: 103, 103, 2.17066, -2.35936
x, y, u, v: 119, 103, 2.16738, -2.02267
x, y, u, v: 135, 103, 2.41569, -2.00767
x, y, u, v: 151, 103, 2.70424, -1.85192
x, y, u, v: 167, 103, 2.89263, -1.81214
x, y, u, v: 183, 103, 3.23976, -1.44917
x, y, u, v: 199, 103, 3.33875, -1.34474
x, y, u, v: 215, 103, 3.81554, -0.892005
x, y, u, v: 231, 103, 3.92797, -0.688871
