x, y, u, v: 15, 479, -1.19722, -1.29235
x, y, u, v: 15, 487, -1.19037, -1.23605
x, y, u, v: 15, 495, -1.25596, -1.2249
x, y, u, v: 15, 503, -1.26065, -1.09234
x, y, u, v: 23, 7, 1.2327, -1.24828
x, y, u, v: 23, 15, 1.28366, -1.10562
x, y, u, v: 23, 23, 1.28093, -1.31405
x, y, u, v: 23, 31, 1.24154, -1.34475
x, y, u, v: 23, 39, 1.19096, -1.3348
x, y, u, v: 23, 47, 1.2816, -1.37774
x, y, u, v: 23, 55, 1.25792, -1.46988
x, y, u, v: 23, 63, -5.36904, -7.04695
x, y, u, v: 23, 71, 1.23239, -1.4717
x, y, u, v: 23, 79, 1.21749, -1.73204
x, y, u, v: 23, 87, 1.22967, -1.71659
x, y, u, v: 23, 95, 1.21358, -1.76769
x, y, u, v: 23, 103, 1.18947, -1.81241
x, y, u, v: 23, 111, 1.17875, -1.81598
x, y, u, v: 23, 119, 1.08817, -1.90111
x, y, u, v: 23, 127, 1.0988, -2.014
x, y, u, v: 23, 135, 1.07576, -2.03218
x, y, u, v: 23, 143, 0.989062, -2.10411
x, y, u, v: 23, 151, 0.955576, -2.17073
x, y, u, v: 23, 159, 0.89029, -2.17015
x, y, u, v: 23, 167, 0.871664, -2.12558
x, y, u, v: 23, 175, 0.761067, -2.37417
x, y, u, v: 23, 183, 0.770087, -2.40625
x, y, u, v: 23, 191, 0.683719, -2.46743
x, y, u, v: 23, 199, 0.789755, -2.54468
x, y, u, v: 23, 207, 0.419707, -2.40835
x, y, u, v: 23, 215, 0.423598, -2.4155
x, y, u, v: 23, 223, 0.389436, -2.50824
x, y, u, v: 23, 231, 0.294388, -2.54011
x, y, u, v: 23, 239, 0.135343, -2.5228
x, y, u, v: 23, 247, 0.117129, -2.51648
x, y, u, v: 23, 255, -0.0516668, -2.51565
x, y, u, v: 23, 263, -0.0816567, -2.49921
x, y, u, v: 23, 271, -0.129912, -2.5041
x, y, u, v: 23, 279, -0.226034, -2.47667
x, y, u, v: 23, 287, -0.40106, -2.64919
x, y, u, v: 23, 295, -0.32885, -2.72917
x, y, u, v: 23, 303, -0.618521, -2.49045
x, y, u, v: 23, 311, -0.598655, -2.41905
x, y, u, v: 23, 319, -0.658142, -2.38535
x, y, u, v: 23, 327, -0.860463, -2.4206
x, y, u, v: 23, 335, -0.7888, -2.31321
x, y, u, v: 23, 343, -0.968206, -2.27278
x, y, u, v: 23, 351, -1.13599, -2.22759
x, y, u, v: 23, 359, -0.976389, -2.18245
x, y, u, v: 23, 367, -1.03852, -2.01642
x, y, u, v: 23, 375, -1.06509, -2.04483
x, y, u, v: 23, 383, -1.06546, -1.96242
x, y, u, v: 23, 391, -1.06264, -1.96752
x, y, u, v: 23, 399, -1.21115, -1.91586
x, y, u, v: 23, 407, -1.21053, -1.86108
x, y, u, v: 23, 415, -1.31956, -1.76187
x, y, u, v: 23, 423, -1.24215, -1.64687
x, y, u, v: 23, 431, -1.20212, -1.66247
x, y, u, v: 23, 439, -1.26376, -1.62989
x, y, u, v: 23, 447, -1.25427, -1.34616
x, y, u, v: 23, 455, -1.28542, -1.47905
x, y, u, v: 23, 463, -1.27411, -1.45215
x, y, u, v: 23, 471, -1.37976, -1.3212
x, y, u, v: 23, 479, -1.32549, -1.26695
x, y, u, v: 23, 487, -1.29208, -1.19787
x, y, u, v: 23, 495, -1.29668, -1.26674
x, y, u, v: 23, 503, -1.30957, -1.0997
x, y, u, v: 31, 7, 1.36675, -1.13061
x, y, u, v: 31, 15, 1.29659, -1.25673
x, y, u, v: 31, 23, 1.31979, -1.31641
x, y, u, v: 31, 31, 1.31308, -1.28772
x, y, u, v: 31, 39, 1.29985, -1.55162
x, y, u, v: 31, 47, 1.30098, -1.41699
x, y, u, v: 31, 55, 1.34306, -1.51603
x, y, u, v: 31, 63, 1.38864, -1.54305
x, y, u, v: 31, 71, 1.36889, -1.57468
x, y, u, v: 31, 79, 1.28244, -1.7291
x, y, u, v: 31, 87, 1.25829, -1.73571
x, y, u, v: 31, 95, 1.25571, -1.80276
x, y, u, v: 31, 103, 1.19221, -1.82505
x, y, u, v: 31, 111, 1.18458, -1.8401
x, y, u, v: 31, 119, 1.11065, -1.9716
x, y, u, v: 31, 127, 1.08299, -2.01775
x, y, u, v: 31, 135, 1.13124, -2.21773
x, y, u, v: 31, 143, 0.946106, -2.07741
x, y, u, v: 31, 151, 1.05367, -2.15274
x, y, u, v: 31, 159, 1.02881, -1.50519
x, y, u, v: 31, 167, 6.90689e-310, 6.90689e-310
x, y, u, v: 31, 175, 0.773964, -2.7626
x, y, u, v: 31, 183, 0.748298, -2.42293
x, y, u, v: 31, 191, 0.723048, -2.4843
x, y, u, v: 31, 199, 0.733136, -2.65762
x, y, u, v: 31, 207, 0.397129, -2.7417
x, y, u, v: 31, 215, 0.400395, -2.74093
x, y, u, v: 31, 223, 0.280467, -2.74998
x, y, u, v: 31, 231, 0.187749, -2.60237
x, y, u, v: 31, 239, 0.164252, -2.56462
x, y, u, v: 31, 247, 0.148713, -2.56429
x, y, u, v: 31, 255, -0.0935533, -2.71624
x, y, u, v: 31, 263, -0.123612, -2.73617
x, y, u, v: 31, 271, -0.243263, -2.71646
x, y, u, v: 31, 279, -0.276357, -2.73311
x, y, u, v: 31, 287, -0.59326, -2.56635
x, y, u, v: 31, 295, -0.406597, -2.66092
x, y, u, v: 31, 303, -0.653529, -2.56944
x, y, u, v: 31, 311, -0.648319, -2.55891
x, y, u, v: 31, 319, 5.82349, -6.79026
x, y, u, v: 31, 327, -0.75975, -2.47556
x, y, u, v: 31, 335, -0.888215, -2.48395
x, y, u, v: 31, 343, -0.948558, -2.30294
x, y, u, v: 31, 351, -0.945775, -2.25102
x, y, u, v: 31, 359, -1.00579, -2.25176
x, y, u, v: 31, 367, -1.06344, -1.89702
x, y, u, v: 31, 375, -1.06701, -2.05047
x, y, u, v: 31, 383, -1.10433, -2.00701
x, y, u, v: 31, 391, -1.12179, -2.02834
x, y, u, v: 31, 399, -1.2054, -1.91731
x, y, u, v: 31, 407, -1.24359, -1.86221
x, y, u, v: 31, 415, -1.26791, -1.82554
x, y, u, v: 31, 423, -1.25053, -1.95305
x, y, u, v: 31, 431, -1.21199, -1.60967
x, y, u, v: 31, 439, -1.284, -1.54453
x, y, u, v: 31, 447, -1.29824, -1.51365
x, y, u, v: 31, 455, -1.32914, -1.50006
x, y, u, v: 31, 463, -1.32747, -1.46213
x, y, u, v: 31, 471, -1.27525, -1.29475
x, y, u, v: 31, 479, -1.18208, -1.32759
x, y, u, v: 31, 487, -1.17147, -1.37034
